"","xMin","xMax","yMin","yMax","shotPercentage"
"542",-70,-60,10,20,43.6893203883495
"543",-70,-60,20,30,40.1459854014599
"544",-70,-60,30,40,35.6164383561644
"545",-70,-60,40,50,32.03125
"546",-70,-60,50,60,37.5
"547",-70,-60,60,70,38.7096774193548
"548",-70,-60,70,80,45
"549",-70,-60,80,90,44.7368421052632
"550",-70,-60,90,100,38.961038961039
"551",-70,-60,100,110,39.0804597701149
"552",-70,-60,110,120,36.2637362637363
"553",-70,-60,120,130,45.3125
"554",-70,-60,130,140,34.1880341880342
"555",-70,-60,140,150,46.0674157303371
"556",-70,-60,150,160,39.4230769230769
"557",-70,-60,160,170,37.3831775700935
"558",-70,-60,170,180,37.5
"559",-70,-60,180,190,31.1688311688312
"560",-70,-60,190,200,40
"561",-70,-60,200,210,46
"562",-70,-60,210,220,36
"563",-70,-60,220,230,33.3333333333333
"564",-70,-60,230,240,36.9047619047619
"565",-70,-60,240,250,41.2979351032448
"566",-70,-60,250,260,29.2592592592593
"567",-70,-60,260,270,37.1428571428571
"568",-70,-60,270,280,28.2051282051282
"569",-70,-60,280,290,44.4444444444444
"570",-70,-60,290,300,33.3333333333333
"571",-60,-50,0,10,36.5384615384615
"572",-60,-50,10,20,35.036496350365
"573",-60,-50,20,30,38.5057471264368
"574",-60,-50,30,40,38.5093167701863
"575",-60,-50,40,50,34.4827586206897
"576",-60,-50,50,60,39.6103896103896
"577",-60,-50,60,70,39.2307692307692
"578",-60,-50,70,80,41.5384615384615
"579",-60,-50,80,90,36.9369369369369
"580",-60,-50,90,100,38.1578947368421
"581",-60,-50,100,110,46.3636363636364
"582",-60,-50,110,120,48.1751824817518
"583",-60,-50,120,130,43.0894308943089
"584",-60,-50,130,140,42.1052631578947
"585",-60,-50,140,150,36.25
"586",-60,-50,150,160,42.5742574257426
"587",-60,-50,160,170,42.3913043478261
"588",-60,-50,170,180,47.3684210526316
"589",-60,-50,180,190,47.7777777777778
"590",-60,-50,190,200,40.2597402597403
"591",-60,-50,200,210,40.9090909090909
"592",-60,-50,210,220,42.5
"593",-60,-50,220,230,62.5
"594",-60,-50,230,240,40
"595",-60,-50,240,250,36.1581920903955
"596",-60,-50,250,260,35.0299401197605
"597",-60,-50,260,270,41.025641025641
"598",-60,-50,270,280,41.6666666666667
"599",-60,-50,280,290,47.6190476190476
